date,source,GWh,TWh,total_GWh,share
2016-02-01,Hydro,24139.01548,24.139015479999998,303413.93475,0.07955803183492381
2016-02-01,Nuclear,65638.141,65.638141,303413.93475,0.2163319923130195
2016-02-01,Solar,2241.56342,2.24156342,303413.93475,0.007387806436269816
2016-02-01,Wind,20138.2278,20.1382278,303413.93475,0.06637212564608488
2016-03-01,Coal,72172.52681,72.17252681,294158.09715,0.24535284770079632
2016-03-01,Gas,103889.93756,103.88993756,294158.09715,0.35317721513211797
2016-03-01,Hydro,27389.8772,27.389877199999997,294158.09715,0.09311277665096224
2016-03-01,Nuclear,66148.894,66.148894,294158.09715,0.22487531242857037
2016-03-01,Solar,2617.45225,2.61745225,294158.09715,0.008898113889638343
2016-03-01,Wind,21939.40933,21.93940933,294158.09715,0.07458373419791481
2016-04-01,Coal,72112.8619,72.1128619,283277.6683,0.25456599644003775
2016-04-01,Gas,98875.9473,98.87594729999999,283277.6683,0.34904250622144783
2016-04-01,Hydro,25878.02878,25.87802878,283277.6683,0.09135216671084129
2016-04-01,Nuclear,62731.845,62.731845,283277.6683,0.22145001890359034
2016-04-01,Solar,2879.68187,2.8796818699999998,283277.6683,0.01016558024951803
2016-04-01,Wind,20799.30345,20.79930345,283277.6683,0.07342373147456466
2016-05-01,Coal,81694.51025,81.69451025000001,306460.6591,0.2665742170297382
2016-05-01,Gas,110430.1923,110.4301923,306460.6591,0.36034051686864627
2016-05-01,Hydro,25486.38143,25.48638143,306460.6591,0.08316363185032385
2016-05-01,Nuclear,66576.493,66.576493,306460.6591,0.21724319589835406
2016-05-01,Solar,3425.18345,3.42518345,306460.6591,0.011176584492309474
2016-05-01,Wind,18847.89867,18.84789867,306460.6591,0.0615018538606282
2016-06-01,Coal,116034.38414,116.03438414,357618.74379999994,0.32446393303392623
2016-06-01,Gas,131395.22913,131.39522913,357618.74379999994,0.36741706470364266
2016-06-01,Hydro,23236.86739,23.23686739,357618.74379999994,0.06497664843595372
2016-06-01,Nuclear,67175.324,67.17532399999999,357618.74379999994,0.18784061284429804
2016-06-01,Solar,3473.49784,3.47349784,357618.74379999994,0.009712851745664011
2016-06-01,Wind,16303.4413,16.3034413,357618.74379999994,0.04558888923651547
2016-07-01,Coal,136316.43397,136.31643397000002,401238.12387,0.33973948600698306
2016-07-01,Gas,151553.87196,151.55387195999998,401238.12387,0.3777155333552078
2016-07-01,Hydro,21455.32093,21.455320930000003,401238.12387,0.05347278748853752
2016-07-01,Nuclear,70349.347,70.349347,401238.12387,0.17533066479692985
2016-07-01,Solar,3944.79289,3.94479289,401238.12387,0.009831550531519536
2016-07-01,Wind,17618.35712,17.61835712,401238.12387,0.04390997782082218
2016-08-01,Coal,135634.73331,135.63473331,399048.87304000003,0.3398950416191357
2016-08-01,Gas,154759.67321,154.75967321000002,399048.87304000003,0.3878213513824086
2016-08-01,Hydro,19569.54914,19.56954914,399048.87304000003,0.04904048216178868
2016-08-01,Nuclear,71526.405,71.526405,399048.87304000003,0.1792422177642143
2016-08-01,Solar,3969.18623,3.9691862299999996,399048.87304000003,0.009946616813530344
2016-08-01,Wind,13589.32615,13.589326150000002,399048.87304000003,0.034054290258922315
2016-09-01,Coal,114137.76825,114.13776825,341595.07753999997,0.3341317710780968
2016-09-01,Gas,125602.73981,125.60273981,341595.07753999997,0.36769481783674773
2016-09-01,Hydro,16367.68403,16.36768403,341595.07753999997,0.04791545635807174
2016-09-01,Nuclear,65448.176,65.448176,341595.07753999997,0.19159578197474517
2016-09-01,Solar,3635.06928,3.63506928,341595.07753999997,0.010641456856398472
2016-09-01,Wind,16403.64017,16.40364017,341595.07753999997,0.04802071589594019
2016-10-01,Coal,99193.94367,99.19394367,303690.74324,0.32662814352431296
2016-10-01,Gas,102897.98607,102.89798607,303690.74324,0.33882490118798925
2016-10-01,Hydro,17338.85654,17.338856540000002,303690.74324,0.05709379336036427
2016-10-01,Nuclear,60733.343,60.733343,303690.74324,0.19998417584958722
2016-10-01,Solar,3191.22418,3.1912241800000003,303690.74324,0.010508137804773481
2016-10-01,Wind,20335.38978,20.33538978,303690.74324,0.06696084827297287
2016-11-01,Coal,86940.46241,86.94046241,287042.12479,0.3028839842709694
2016-11-01,Gas,93941.8345,93.9418345,287042.12479,0.32727542888949784
2016-11-01,Hydro,18808.26528,18.80826528,287042.12479,0.0655244079375462
2016-11-01,Nuclear,65178.776,65.178776,287042.12479,0.22707042057915644
